Date:,Peak Players:
August 2012,52596
September 2012,36870
October 2012,50533
November 2012,50533
December 2012,31359
January 2013,35238
February 2013,35597
March 2013,32414
April 2013,53379
May 2013,53381
June 2013,42149
July 2013,50511
August 2013,52052
September 2013,53263
October 2013,92279
November 2013,96298
December 2013,102084
January 2014,119764
February 2014,164495
March 2014,164781
April 2014,170137
May 2014,173629
June 2014,194016
July 2014,277192
August 2014,275014
September 2014,260613
October 2014,348018
November 2014,367634
December 2014,443188
January 2015,455508
February 2015,595439
March 2015,568556
April 2015,569848
May 2015,681170
June 2015,611284
July 2015,546142
August 2015,819902
September 2015,725939
October 2015,786707
November 2015,691930
December 2015,823694
January 2016,667432
February 2016,738969
March 2016,800869
April 2016,850485
May 2016,638088
June 2016,579110
July 2016,636056
August 2016,599095
September 2016,638360
October 2016,661985
November 2016,627124
December 2016,662460
January 2017,814616
February 2017,744468
March 2017,742356
April 2017,695235
May 2017,697189
June 2017,614621
July 2017,640277
August 2017,598656
September 2017,681413
October 2017,644082
November 2017,602797
December 2017,601351
January 2018,719298
February 2018,691196
March 2018,674462
April 2018,523827
May 2018,454436
June 2018,422310
July 2018,429650
August 2018,456907
September 2018,587639
October 2018,567916
November 2018,546192
December 2018,749638
January 2019,687299
February 2019,656097
March 2019,683952
April 2019,622852
May 2019,592848
June 2019,591839
July 2019,579696
August 2019,659195
September 2019,723700
October 2019,754909
November 2019,764438
December 2019,771640
January 2020,822490
February 2020,933748
March 2020,1226724
April 2020,1308963
May 2020,1179111
June 2020,957636
July 2020,861948
August 2020,932283
September 2020,980879
October 2020,951748
November 2020,1040051
December 2020,1169661
January 2021,1125411
February 2021,1125838
March 2021,1201993
April 2021,1150982
May 2021,1088168
June 2021,929940
July 2021,766510
August 2021,804133
September 2021,949817
October 2021,866030
November 2021,944330
December 2021,950586
January 2022,992455
February 2022,997730
March 2022,993808
April 2022,1016762
May 2022,932681
June 2022,906968
July 2022,928329
August 2022,1039889
September 2022,1103223
October 2022,1090858
November 2022,1132952
December 2022,1067327
January 2023,1200077
February 2023,1355797
March 2023,1519457
April 2023,1514410
May 2023,1818773
June 2023,1673717
July 2023,1226527
August 2023,1539504
September 2023,1560435
October 2023,1392488
November 2023,1163388
December 2023,1255172
January 2024,1312422
February 2024,1403250
March 2024,1525069
