Date:,Peak Players:
September 2011,312
October 2011,587
November 2011,12385
December 2011,20156
January 2012,23539
February 2012,26129
March 2012,40661
April 2012,53426
May 2012,55519
June 2012,75041
July 2012,108689
August 2012,118901
September 2012,171860
October 2012,171931
November 2012,213521
December 2012,260989
January 2013,283870
February 2013,325598
March 2013,325897
April 2013,325815
May 2013,329977
June 2013,422617
July 2013,520532
August 2013,566715
September 2013,581615
October 2013,702792
November 2013,707938
December 2013,693538
January 2014,738682
February 2014,740345
March 2014,734998
April 2014,843024
May 2014,845664
June 2014,874975
July 2014,891058
August 2014,864261
September 2014,880655
October 2014,963810
November 2014,936583
December 2014,961737
January 2015,1262612
February 2015,1263992
March 2015,957147
April 2015,950606
May 2015,970403
June 2015,915726
July 2015,888922
August 2015,933942
September 2015,888728
October 2015,920726
November 2015,943635
December 2015,999452
January 2016,1067949
February 2016,1248394
March 2016,1291328
April 2016,1164041
May 2016,1075307
June 2016,1095994
July 2016,1084198
August 2016,1117519
September 2016,1064377
October 2016,1141191
November 2016,1007270
December 2016,1014671
January 2017,1007451
February 2017,1040877
March 2017,945789
April 2017,921318
May 2017,979135
June 2017,928430
July 2017,820135
August 2017,877952
September 2017,838489
October 2017,837599
November 2017,864584
December 2017,864939
January 2018,780059
February 2018,782579
March 2018,780113
April 2018,733580
May 2018,850371
June 2018,797767
July 2018,706228
August 2018,830388
September 2018,827979
October 2018,742992
November 2018,829011
December 2018,745843
January 2019,881256
February 2019,983435
March 2019,1045353
April 2019,973544
May 2019,998345
June 2019,892370
July 2019,779160
August 2019,840012
September 2019,758001
October 2019,750516
November 2019,710308
December 2019,629748
January 2020,638674
February 2020,667430
March 2020,747551
April 2020,801645
May 2020,794638
June 2020,736441
July 2020,716054
August 2020,666563
September 2020,676484
October 2020,723768
November 2020,679969
December 2020,699068
January 2021,695426
February 2021,657208
March 2021,650049
April 2021,706812
May 2021,673660
June 2021,734277
July 2021,710866
August 2021,700245
September 2021,667488
October 2021,753627
November 2021,752800
December 2021,759878
January 2022,787609
February 2022,728213
March 2022,743726
April 2022,734735
May 2022,695554
June 2022,702003
July 2022,686899
August 2022,751789
September 2022,872372
October 2022,1042939
November 2022,990991
December 2022,834168
January 2023,766096
February 2023,685805
March 2023,757854
April 2023,810881
May 2023,715786
June 2023,683487
July 2023,706044
August 2023,863795
September 2023,784560
October 2023,784158
November 2023,773854
December 2023,802939
January 2024,742687
February 2024,744284
March 2024,734043
Date:,Peak Players:
,#ERROR!
