Date:,Peak Players:
September 2007,"9,553"
October 2007,"18,842"
November 2007,"9,428"
December 2007,"11,628"
January 2008,"14,600"
September 2008,"19,086"
October 2008,"14,222"
November 2008,"6,853"
December 2008,"11,333"
January 2009,"12,613"
February 2009,"24,366"
March 2009,"16,560"
April 2009,"11,550"
May 2009,"44,697"
June 2009,"27,482"
July 2009,"18,539"
August 2009,"32,075"
September 2009,"24,666"
October 2009,"16,858"
November 2009,"10,833"
December 2009,"22,376"
January 2010,"18,487"
February 2010,"15,372"
March 2010,"23,759"
April 2010,"23,609"
May 2010,"21,056"
June 2010,"33,039"
July 2010,"44,852"
August 2010,"21,583"
September 2010,"39,657"
October 2010,"39,604"
November 2010,"28,076"
December 2010,"34,334"
January 2011,"27,031"
February 2011,"22,792"
March 2011,"22,283"
April 2011,"21,418"
May 2011,"22,418"
June 2011,"101,789"
July 2011,"80,567"
August 2011,"70,959"
September 2011,"69,643"
October 2011,"71,082"
November 2011,"59,138"
December 2011,"56,231"
January 2012,"59,094"
February 2012,"61,011"
March 2012,"62,128"
April 2012,"66,640"
May 2012,"62,531"
June 2012,"92,867"
July 2012,"117,917"
August 2012,"120,436"
September 2012,"106,853"
October 2012,"106,861"
November 2012,"80,851"
December 2012,"74,300"
January 2013,"74,968"
February 2013,"73,221"
March 2013,"73,902"
April 2013,"75,126"
May 2013,"77,349"
June 2013,"78,100"
July 2013,"74,504"
August 2013,"77,493"
September 2013,"80,551"
October 2013,"88,530"
November 2013,"86,393"
December 2013,"88,315"
January 2014,"84,061"
February 2014,"84,020"
March 2014,"83,410"
April 2014,"81,755"
May 2014,"90,242"
June 2014,"89,077"
July 2014,"83,414"
August 2014,"93,749"
September 2014,"101,741"
October 2014,"104,799"
November 2014,"97,449"
December 2014,"98,054"
January 2015,"94,941"
February 2015,"89,571"
March 2015,"85,947"
April 2015,"84,537"
May 2015,"84,603"
June 2015,"78,971"
July 2015,"83,241"
August 2015,"85,760"
September 2015,"90,786"
October 2015,"91,981"
November 2015,"90,647"
December 2015,"82,824"
January 2016,"80,654"
February 2016,"83,544"
March 2016,"83,463"
April 2016,"81,206"
May 2016,"77,824"
June 2016,"72,453"
July 2016,"73,553"
August 2016,"72,111"
September 2016,"74,797"
October 2016,"81,150"
November 2016,"77,056"
December 2016,"71,438"
January 2017,"77,405"
February 2017,"77,381"
March 2017,"74,656"
April 2017,"72,587"
May 2017,"73,188"
June 2017,"69,895"
July 2017,"66,951"
August 2017,"69,263"
September 2017,"73,411"
October 2017,"97,248"
November 2017,"84,022"
December 2017,"71,345"
January 2018,"72,932"
February 2018,"69,542"
March 2018,"57,478"
April 2018,"58,369"
May 2018,"55,981"
June 2018,"57,897"
July 2018,"59,776"
August 2018,"57,980"
September 2018,"58,223"
October 2018,"99,934"
November 2018,"93,797"
December 2018,"122,938"
January 2019,"66,783"
February 2019,"65,290"
March 2019,"63,459"
April 2019,"61,397"
May 2019,"54,127"
June 2019,"57,244"
July 2019,"93,245"
August 2019,"64,954"
September 2019,"64,666"
October 2019,"73,974"
November 2019,"69,869"
December 2019,"103,481"
January 2020,"83,218"
February 2020,"78,730"
March 2020,"85,507"
April 2020,"88,258"
May 2020,"86,225"
June 2020,"80,301"
July 2020,"89,884"
August 2020,"98,432"
September 2020,"131,300"
October 2020,"122,857"
November 2020,"102,087"
December 2020,"147,360"
January 2021,"116,023"
February 2021,"133,960"
March 2021,"113,352"
April 2021,"119,440"
May 2021,"123,334"
June 2021,"151,253"
July 2021,"135,075"
August 2021,"92,436"
September 2021,"100,830"
October 2021,"107,929"
November 2021,"122,109"
December 2021,"130,849"
January 2022,"127,787"
February 2022,"93,398"
March 2022,"92,765"
April 2022,"94,913"
May 2022,"91,778"
June 2022,"139,355"
July 2022,"139,018"
August 2022,"121,777"
September 2022,"134,069"
October 2022,"128,433"
November 2022,"117,170"
December 2022,"167,951"
January 2023,"135,253"
February 2023,"120,860"
March 2023,"117,072"
April 2023,"106,461"
May 2023,"101,004"
June 2023,"123,380"
July 2023,"253,997"
August 2023,"113,282"
September 2023,"110,579"
October 2023,"200,363"
November 2023,"100,962"
December 2023,"215,811"
January 2024,"175,548"
February 2024,"100,252"
March 2024,"78,014"
