Date:,Peak Players:
9/1/2007,"9,553"
10/1/2007,"18,842"
11/1/2007,"9,428"
12/1/2007,"11,628"
1/1/2008,"14,600"
9/1/2008,"19,086"
10/1/2008,"14,222"
11/1/2008,"6,853"
12/1/2008,"11,333"
1/1/2009,"12,613"
2/1/2009,"24,366"
3/1/2009,"16,560"
4/1/2009,"11,550"
5/1/2009,"44,697"
6/1/2009,"27,482"
7/1/2009,"18,539"
8/1/2009,"32,075"
9/1/2009,"24,666"
10/1/2009,"16,858"
11/1/2009,"10,833"
12/1/2009,"22,376"
1/1/2010,"18,487"
2/1/2010,"15,372"
3/1/2010,"23,759"
4/1/2010,"23,609"
5/1/2010,"21,056"
6/1/2010,"33,039"
7/1/2010,"44,852"
8/1/2010,"21,583"
9/1/2010,"39,657"
10/1/2010,"39,604"
11/1/2010,"28,076"
12/1/2010,"34,334"
1/1/2011,"27,031"
2/1/2011,"22,792"
3/1/2011,"22,283"
4/1/2011,"21,418"
5/1/2011,"22,418"
6/1/2011,"101,789"
7/1/2011,"80,567"
8/1/2011,"70,959"
9/1/2011,"69,643"
10/1/2011,"71,082"
11/1/2011,"59,138"
12/1/2011,"56,231"
1/1/2012,"59,094"
2/1/2012,"61,011"
3/1/2012,"62,128"
4/1/2012,"66,640"
5/1/2012,"62,531"
6/1/2012,"92,867"
7/1/2012,"117,917"
8/1/2012,"120,436"
9/1/2012,"106,853"
10/1/2012,"106,861"
11/1/2012,"80,851"
12/1/2012,"74,300"
1/1/2013,"74,968"
2/1/2013,"73,221"
3/1/2013,"73,902"
4/1/2013,"75,126"
5/1/2013,"77,349"
6/1/2013,"78,100"
7/1/2013,"74,504"
8/1/2013,"77,493"
9/1/2013,"80,551"
10/1/2013,"88,530"
11/1/2013,"86,393"
12/1/2013,"88,315"
1/1/2014,"84,061"
2/1/2014,"84,020"
3/1/2014,"83,410"
4/1/2014,"81,755"
5/1/2014,"90,242"
6/1/2014,"89,077"
7/1/2014,"83,414"
8/1/2014,"93,749"
9/1/2014,"101,741"
10/1/2014,"104,799"
11/1/2014,"97,449"
12/1/2014,"98,054"
1/1/2015,"94,941"
2/1/2015,"89,571"
3/1/2015,"85,947"
4/1/2015,"84,537"
5/1/2015,"84,603"
6/1/2015,"78,971"
7/1/2015,"83,241"
8/1/2015,"85,760"
9/1/2015,"90,786"
10/1/2015,"91,981"
11/1/2015,"90,647"
12/1/2015,"82,824"
1/1/2016,"80,654"
2/1/2016,"83,544"
3/1/2016,"83,463"
4/1/2016,"81,206"
5/1/2016,"77,824"
6/1/2016,"72,453"
7/1/2016,"73,553"
8/1/2016,"72,111"
9/1/2016,"74,797"
10/1/2016,"81,150"
11/1/2016,"77,056"
12/1/2016,"71,438"
1/1/2017,"77,405"
2/1/2017,"77,381"
3/1/2017,"74,656"
4/1/2017,"72,587"
5/1/2017,"73,188"
6/1/2017,"69,895"
7/1/2017,"66,951"
8/1/2017,"69,263"
9/1/2017,"73,411"
10/1/2017,"97,248"
11/1/2017,"84,022"
12/1/2017,"71,345"
1/1/2018,"72,932"
2/1/2018,"69,542"
3/1/2018,"57,478"
4/1/2018,"58,369"
5/1/2018,"55,981"
6/1/2018,"57,897"
7/1/2018,"59,776"
8/1/2018,"57,980"
9/1/2018,"58,223"
10/1/2018,"99,934"
11/1/2018,"93,797"
12/1/2018,"122,938"
1/1/2019,"66,783"
2/1/2019,"65,290"
3/1/2019,"63,459"
4/1/2019,"61,397"
5/1/2019,"54,127"
6/1/2019,"57,244"
7/1/2019,"93,245"
8/1/2019,"64,954"
9/1/2019,"64,666"
10/1/2019,"73,974"
11/1/2019,"69,869"
12/1/2019,"103,481"
1/1/2020,"83,218"
2/1/2020,"78,730"
3/1/2020,"85,507"
4/1/2020,"88,258"
5/1/2020,"86,225"
6/1/2020,"80,301"
7/1/2020,"89,884"
8/1/2020,"98,432"
9/1/2020,"131,300"
10/1/2020,"122,857"
11/1/2020,"102,087"
12/1/2020,"147,360"
1/1/2021,"116,023"
2/1/2021,"133,960"
3/1/2021,"113,352"
4/1/2021,"119,440"
5/1/2021,"123,334"
6/1/2021,"151,253"
7/1/2021,"135,075"
8/1/2021,"92,436"
9/1/2021,"100,830"
10/1/2021,"107,929"
11/1/2021,"122,109"
12/1/2021,"130,849"
1/1/2022,"127,787"
2/1/2022,"93,398"
3/1/2022,"92,765"
4/1/2022,"94,913"
5/1/2022,"91,778"
6/1/2022,"139,355"
7/1/2022,"139,018"
8/1/2022,"121,777"
9/1/2022,"134,069"
10/1/2022,"128,433"
11/1/2022,"117,170"
12/1/2022,"167,951"
1/1/2023,"135,253"
2/1/2023,"120,860"
3/1/2023,"117,072"
4/1/2023,"106,461"
5/1/2023,"101,004"
6/1/2023,"123,380"
7/1/2023,"253,997"
8/1/2023,"113,282"
9/1/2023,"110,579"
10/1/2023,"200,363"
11/1/2023,"100,962"
12/1/2023,"215,811"
1/1/2024,"175,548"
2/1/2024,"100,252"
3/1/2024,"78,014"
