Date:,Peak Players:
9/1/2007,9553
10/1/2007,18842
11/1/2007,9428
12/1/2007,11628
1/1/2008,14600
9/1/2008,19086
10/1/2008,14222
11/1/2008,6853
12/1/2008,11333
1/1/2009,12613
2/1/2009,24366
3/1/2009,16560
4/1/2009,11550
5/1/2009,44697
6/1/2009,27482
7/1/2009,18539
8/1/2009,32075
9/1/2009,24666
10/1/2009,16858
11/1/2009,10833
12/1/2009,22376
1/1/2010,18487
2/1/2010,15372
3/1/2010,23759
4/1/2010,23609
5/1/2010,21056
6/1/2010,33039
7/1/2010,44852
8/1/2010,21583
9/1/2010,39657
10/1/2010,39604
11/1/2010,28076
12/1/2010,34334
1/1/2011,27031
2/1/2011,22792
3/1/2011,22283
4/1/2011,21418
5/1/2011,22418
6/1/2011,101789
7/1/2011,80567
8/1/2011,70959
9/1/2011,69643
10/1/2011,71082
11/1/2011,59138
12/1/2011,56231
1/1/2012,59094
2/1/2012,61011
3/1/2012,62128
4/1/2012,66640
5/1/2012,62531
6/1/2012,92867
7/1/2012,117917
8/1/2012,120436
9/1/2012,106853
10/1/2012,106861
11/1/2012,80851
12/1/2012,74300
1/1/2013,74968
2/1/2013,73221
3/1/2013,73902
4/1/2013,75126
5/1/2013,77349
6/1/2013,78100
7/1/2013,74504
8/1/2013,77493
9/1/2013,80551
10/1/2013,88530
11/1/2013,86393
12/1/2013,88315
1/1/2014,84061
2/1/2014,84020
3/1/2014,83410
4/1/2014,81755
5/1/2014,90242
6/1/2014,89077
7/1/2014,83414
8/1/2014,93749
9/1/2014,101741
10/1/2014,104799
11/1/2014,97449
12/1/2014,98054
1/1/2015,94941
2/1/2015,89571
3/1/2015,85947
4/1/2015,84537
5/1/2015,84603
6/1/2015,78971
7/1/2015,83241
8/1/2015,85760
9/1/2015,90786
10/1/2015,91981
11/1/2015,90647
12/1/2015,82824
1/1/2016,80654
2/1/2016,83544
3/1/2016,83463
4/1/2016,81206
5/1/2016,77824
6/1/2016,72453
7/1/2016,73553
8/1/2016,72111
9/1/2016,74797
10/1/2016,81150
11/1/2016,77056
12/1/2016,71438
1/1/2017,77405
2/1/2017,77381
3/1/2017,74656
4/1/2017,72587
5/1/2017,73188
6/1/2017,69895
7/1/2017,66951
8/1/2017,69263
9/1/2017,73411
10/1/2017,97248
11/1/2017,84022
12/1/2017,71345
1/1/2018,72932
2/1/2018,69542
3/1/2018,57478
4/1/2018,58369
5/1/2018,55981
6/1/2018,57897
7/1/2018,59776
8/1/2018,57980
9/1/2018,58223
10/1/2018,99934
11/1/2018,93797
12/1/2018,122938
1/1/2019,66783
2/1/2019,65290
3/1/2019,63459
4/1/2019,61397
5/1/2019,54127
6/1/2019,57244
7/1/2019,93245
8/1/2019,64954
9/1/2019,64666
10/1/2019,73974
11/1/2019,69869
12/1/2019,103481
1/1/2020,83218
2/1/2020,78730
3/1/2020,85507
4/1/2020,88258
5/1/2020,86225
6/1/2020,80301
7/1/2020,89884
8/1/2020,98432
9/1/2020,131300
10/1/2020,122857
11/1/2020,102087
12/1/2020,147360
1/1/2021,116023
2/1/2021,133960
3/1/2021,113352
4/1/2021,119440
5/1/2021,123334
6/1/2021,151253
7/1/2021,135075
8/1/2021,92436
9/1/2021,100830
10/1/2021,107929
11/1/2021,122109
12/1/2021,130849
1/1/2022,127787
2/1/2022,93398
3/1/2022,92765
4/1/2022,94913
5/1/2022,91778
6/1/2022,139355
7/1/2022,139018
8/1/2022,121777
9/1/2022,134069
10/1/2022,128433
11/1/2022,117170
12/1/2022,167951
1/1/2023,135253
2/1/2023,120860
3/1/2023,117072
4/1/2023,106461
5/1/2023,101004
6/1/2023,123380
7/1/2023,253997
8/1/2023,113282
9/1/2023,110579
10/1/2023,200363
11/1/2023,100962
12/1/2023,215811
1/1/2024,175548
2/1/2024,100252
3/1/2024,78014
